#Accession	ID	Type	Description	Class	subclass
RF03619	mir-5729	Gene;miRNA	mir-5729 microRNA precursor family	miRNA	miRNA
RF03620	mir-1233	Gene;miRNA	mir-1233 microRNA precursor family	miRNA	miRNA
RF03621	MIR4245	Gene;miRNA	MIR4245 microRNA precursor family	miRNA	miRNA
RF03622	mir-731	Gene;miRNA	mir-731 microRNA precursor family	miRNA	miRNA
RF03623	mir-1252	Gene;miRNA	mir-1252 microRNA precursor family	miRNA	miRNA
RF03624	mir-5345	Gene;miRNA	mir-5345 microRNA precursor family	miRNA	miRNA
RF03625	MIR6152	Gene;miRNA	MIR6152 microRNA precursor family	miRNA	miRNA
RF03626	mir-9791	Gene;miRNA	mir-9791 microRNA precursor family	miRNA	miRNA
RF03627	mir-9168	Gene;miRNA	mir-9168 microRNA precursor family	miRNA	miRNA
RF03628	mir-2355	Gene;miRNA	mir-2355 microRNA precursor family	miRNA	miRNA
RF03629	mir-641	Gene;miRNA	mir-641 microRNA precursor family	miRNA	miRNA
RF03630	mir-2818	Gene;miRNA	mir-2818 microRNA precursor family	miRNA	miRNA
RF03631	MIR3440	Gene;miRNA	MIR3440 microRNA precursor family	miRNA	miRNA
RF03632	MIR1882	Gene;miRNA	MIR1882 microRNA precursor family	miRNA	miRNA
RF03633	mir-5882	Gene;miRNA	mir-5882 microRNA precursor family	miRNA	miRNA
RF03634	mir-3524	Gene;miRNA	mir-3524 microRNA precursor family	miRNA	miRNA
RF03635	mir-2066	Gene;miRNA	mir-2066 microRNA precursor family	miRNA	miRNA
RF03636	MIR4376	Gene;miRNA	MIR4376 microRNA precursor family	miRNA	miRNA
RF03637	mir-5879	Gene;miRNA	mir-5879 microRNA precursor family	miRNA	miRNA
RF03638	mir-1537	Gene;miRNA	mir-1537 microRNA precursor family	miRNA	miRNA
RF03639	mir-619	Gene;miRNA	mir-619 microRNA precursor family	miRNA	miRNA
RF03640	mir-3747	Gene;miRNA	mir-3747 microRNA precursor family	miRNA	miRNA
RF03641	mir-991	Gene;miRNA	mir-991 microRNA precursor family	miRNA	miRNA
RF03642	MIR5743	Gene;miRNA	MIR5743 microRNA precursor family	miRNA	miRNA
RF03643	mir-2056	Gene;miRNA	mir-2056 microRNA precursor family	miRNA	miRNA
RF03644	mir-2064	Gene;miRNA	mir-2064 microRNA precursor family	miRNA	miRNA
RF03645	mir-9080	Gene;miRNA	mir-9080 microRNA precursor family	miRNA	miRNA
RF03646	MIR9776	Gene;miRNA	MIR9776 microRNA precursor family	miRNA	miRNA
RF03647	mir-7640	Gene;miRNA	mir-7640 microRNA precursor family	miRNA	miRNA
RF03648	mir-9413	Gene;miRNA	mir-9413 microRNA precursor family	miRNA	miRNA
RF03649	MIR5643	Gene;miRNA	MIR5643 microRNA precursor family	miRNA	miRNA
RF03650	mir-1290	Gene;miRNA	mir-1290 microRNA precursor family	miRNA	miRNA
RF03651	mir-2070	Gene;miRNA	mir-2070 microRNA precursor family	miRNA	miRNA
RF03652	mir-2329	Gene;miRNA	mir-2329 microRNA precursor family	miRNA	miRNA
RF03653	mir-971	Gene;miRNA	mir-971 microRNA precursor family	miRNA	miRNA
RF03654	MIR4239	Gene;miRNA	MIR4239 microRNA precursor family	miRNA	miRNA
RF03655	MIR1887	Gene;miRNA	MIR1887 microRNA precursor family	miRNA	miRNA
RF03656	mir-2432	Gene;miRNA	mir-2432 microRNA precursor family	miRNA	miRNA
RF03657	MIR6145	Gene;miRNA	MIR6145 microRNA precursor family	miRNA	miRNA
RF03658	mir-2300	Gene;miRNA	mir-2300 microRNA precursor family	miRNA	miRNA
RF03659	MIR2871	Gene;miRNA	MIR2871 microRNA precursor family	miRNA	miRNA
RF03660	mir-4018	Gene;miRNA	mir-4018 microRNA precursor family	miRNA	miRNA
RF03661	mir-933	Gene;miRNA	mir-933 microRNA precursor family	miRNA	miRNA
RF03662	mir-2060	Gene;miRNA	mir-2060 microRNA precursor family	miRNA	miRNA
RF03663	mir-5911	Gene;miRNA	mir-5911 microRNA precursor family	miRNA	miRNA
RF03664	MIR6288	Gene;miRNA	MIR6288 microRNA precursor family	miRNA	miRNA
RF03665	MIR4359	Gene;miRNA	MIR4359 microRNA precursor family	miRNA	miRNA
RF03666	MIR7724	Gene;miRNA	MIR7724 microRNA precursor family	miRNA	miRNA
RF03667	MIR1031	Gene;miRNA	MIR1031 microRNA precursor family	miRNA	miRNA
RF03668	mir-1788	Gene;miRNA	mir-1788 microRNA precursor family	miRNA	miRNA
RF03669	mir-2767	Gene;miRNA	mir-2767 microRNA precursor family	miRNA	miRNA
RF03670	MIR3932	Gene;miRNA	MIR3932 microRNA precursor family	miRNA	miRNA
RF03671	MIR3522	Gene;miRNA	MIR3522 microRNA precursor family	miRNA	miRNA
RF03672	MIR840	Gene;miRNA	MIR840 microRNA precursor family	miRNA	miRNA
RF03673	mir-2822	Gene;miRNA	mir-2822 microRNA precursor family	miRNA	miRNA
RF03674	MIR5387	Gene;miRNA	MIR5387 microRNA precursor family	miRNA	miRNA
RF03675	mir-1001	Gene;miRNA	mir-1001 microRNA precursor family	miRNA	miRNA
